"To understand what yield does, you must understand what generators are. And before you can understand generators, you must understand iterables.","When you see a function with yield statements, apply this easy trick to understand what will happen:"
It's boilerplate code that protects users from accidentally invoking the script when they didn't intend to. Here are some common problems when the guard is omitted from a script:,"When your script is run by passing it as a command to the Python interpreter,"
"Yes, It was added in version 2.5. The expression syntax is:",You can index into a tuple:
"Before understanding metaclasses, you need to master classes in Python. And Python has a very peculiar idea of what classes are, borrowed from the Smalltalk language.",A metaclass is the class of a class. A class defines how an instance of the class (i.e. an object) behaves while a metaclass defines how a class behaves. A class is an instance of a metaclass.
"For dictionaries x and y, z becomes a shallowly-merged dictionary with values from y replacing those from x.","In your case, what you can do is:"
Use the subprocess module in the standard library:,"Summary of ways to call external programs, including their advantages and disadvantages:"
"On Python ≥ 3.5, use pathlib.Path.mkdir:","pathlib.Path.mkdir as used above recursively creates the directory and does not raise an exception if the directory already exists. If you don't need or want the parents to be created, skip the parents argument."
"Maybe a bit of example code will help: Notice the difference in the call signatures of foo, class_foo and static_foo:","A staticmethod is a method that knows nothing about the class or instance it was called on. It just gets the arguments that were passed, no implicit first argument. It is basically useless in Python -- you can just use a module function instead of a staticmethod."
It's pretty simple really:,The Python tutorial talks about it (scroll down a bit until you get to the part about slicing).
key is just a variable name.  ,"It's not that key is a special word, but that dictionaries implement the iterator protocol.  You could do this in your class, e.g. see this question for how to build class iterators."
You can use a global variable within other functions by declaring it as global within each function that assigns a value to it:,"If I'm understanding your situation correctly, what you're seeing is the result of how Python handles local (function) and global (module) namespaces."
You can use the in operator:,"If it's just a substring search you can use string.find(""substring"")."
From Python Documentation:,Do this:
"Alex summarized well but, surprisingly, was too succinct.","My rule of thumb:  __repr__ is for developers, __str__ is for customers."
You can use the + operator to combine them:,"Python >= 3.5 alternative: [*l1, *l2]"
Using the implicit booleanness of the empty list is quite pythonic.,The pythonic way to do it is from the PEP 8 style guide.
append appends object at the end.,"append adds an element to a list, and extend concatenates the first list with another list (or another iterable, not necessarily a list.)"
"It used to be a required part of a package (old, pre-3.3 ""regular package"", not newer 3.3+ ""namespace package"").","Files named __init__.py are used to mark directories on disk as Python package directories.
If you have the files"
"Actually, this is not a design flaw, and it is not because of internals or performance.
It comes simply from the fact that functions in Python are first-class objects, and not only a piece of code.",Suppose you have the following code
Here is another example where something is run approximately once a minute:,You can use the sleep() function in the time module. It can take a float argument for sub-second resolution.
Arguments are passed by assignment. The rationale behind this is twofold:,"The problem comes from a misunderstanding of what variables are in Python. If you're used to most traditional languages, you have a mental model of what happens in the following sequence:"
"With new_list = my_list, you don't actually have two lists. The assignment just copies the reference to the list, not the actual list, so both new_list and my_list refer to the same list after the assignment.","Felix already provided an excellent answer, but I thought I'd do a speed comparison of the various methods:"
"If you are not into long explanations, see Paolo Bergantino’s answer.",Check out the documentation to see how decorators work. Here is what you asked for:
"super() lets you avoid referring to the base class explicitly, which can be nice. But the main advantage comes with multiple inheritance, where all sorts of fun stuff can happen. See the standard docs on super if you haven't already.",The reason we use super is so that child classes that may be using cooperative multiple inheritance will call the correct next parent class function in the Method Resolution Order (MRO).
The *args and **kwargs is a common idiom to allow arbitrary number of arguments to functions as described in the section more on defining functions in the Python documentation.,"It's also worth noting that you can use * and ** when calling functions as well. This is a shortcut that allows you to pass multiple arguments to a function directly using either a list/tuple or a dictionary. For example, if you have the following function:"
"To select rows whose column value equals a scalar, some_value, use ==:",There are several ways to select rows from a Pandas dataframe:
figure tells you the call signature:,"If you've already got the figure created, you can use figure.set_size_inches to adjust the figure size:"
Use the most specific Exception constructor that semantically fits your issue.,DON'T DO THIS. Raising a bare Exception is absolutely not the right thing to do; see Aaron Hall's excellent answer instead.
"This somewhat depends on what platform you are on. The most common way to do this is by printing ANSI escape sequences. For a simple example, here's some Python code from the Blender build scripts:",There is also the Python termcolor module. Usage is pretty simple:
Environment variables are accessed through os.environ,To check if the key exists (returns True or False)
"To get the full path to the directory a Python file is contained in, write this in that file:",Current working directory:  os.getcwd()
in is the intended way to test for the existence of a key in a dict.,You don't have to call keys:
"Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby, Node.js, Haskell, Perl, Go—almost every other contemporary language with a majority open-source community. Thank you, Python.","-- Outdated -- use distribute, not setuptools as described here. --
-- Outdated #2 -- use setuptools as distribute is deprecated."
"The Python 3 range() object doesn't produce numbers immediately; it is a smart sequence object that produces numbers on demand. All it contains is your start, stop and step values, then as you iterate over the object the next integer is calculated each iteration.","The fundamental misunderstanding here is in thinking that range is a generator. It's not. In fact, it's not any kind of iterator."
some_list[-1] is the shortest and most Pythonic.,"If your str() or list() objects might end up being empty as so: astr = '' or alist = [], then you might want to use alist[-1:] instead of alist[-1] for object ""sameness""."
"To delete a key regardless of whether it is in the dictionary, use the two-argument form of dict.pop():","Specifically to answer ""is there a one line way of doing this?"""
Use .lower() - For example:,"Is there any way to convert an entire user inputted string from uppercase, or even part uppercase to lowercase?"
"Variables declared inside the class definition, but not inside a method are class or static variables:","@Blair Conrad said static variables declared inside the class definition, but not inside a method are class or ""static"" variables:"
"In Python 3, you can use the sep= and end= parameters of the print function:","For Python 2 and earlier, it should be as simple as described in Re: How does one print without a CR? by Guido van Rossum (paraphrased):"
Assuming module foo with method bar:,or
The len() function can be used with several different types in Python - both built-in types and library types. For example:,"To find the size of a list, use the builtin function, len:"
Use random.choice():,"If you want to randomly select more than one item from a list, or select an item from a set, I'd recommend using random.sample instead."
Try hasattr():,"As Jarret Hardie answered, hasattr will do the trick.  I would like to add, though, that many in the Python community recommend a strategy of ""easier to ask for forgiveness than permission"" (EAFP) rather than ""look before you leap"" (LBYL).  See these references:"
"Usually, activating a virtualenv gives you a shell function named:",Use:
One way is to use Kivy:,"There is also the new Android Scripting Environment (ASE/SL4A) project. It looks awesome, and it has some integration with native Android components. "
You are running into the old problem with floating point numbers that not all numbers can be represented exactly. The command line is just showing you the full floating point form from memory.,"There are new format specifications, String Format Specification Mini-Language:"
"By default, cin is synchronized with stdio, which causes it to avoid any input buffering.  If you add this to the top of your main, you should see much better performance:","Just out of curiosity I've taken a look at what happens under the hood, and I've used dtruss/strace on each test."
"Note: This answer was intended for a very specific question. For most programmers coming here from a search engine, this is not the answer you are looking for. Typically you would structure your files into packages (see other answers) instead of modifying the search path.",Nothing wrong with:
You need to double the {{ and }}:,Python 3.6+ (2017)
"There are two built-in functions that help you identify the type of an object. You can use type()  if you need the exact type of an object, and isinstance() to check an object’s type against something. Usually, you want to use isinstance() most of the times since it is very robust and also supports type inheritance.",You can do that using type():
"It's because any iterable can be joined (e.g, list, tuple, dict, set), but its contents and the ""joiner"" must be strings.","This was discussed in the String methods... finally thread in the Python-Dev achive, and was accepted by Guido. This thread began in Jun 1999, and str.join was included in Python 1.6 which was released in Sep 2000 (and supported Unicode). Python 2.0 (supported str methods including join) was released in Oct 2000."
Use del and specify the index of the element you want to delete:,You probably want pop:
"Yep, using the staticmethod decorator","I think that Steven is actually right. To answer the original question, then, in order to set up a class method, simply assume that the first argument is not going to be a calling instance, and then make sure that you only call the method from the class."
"This can be achieved by setting the mode in open() to ""a"" (append) instead of ""w"" (write). See the documentation op open() for all available modes.","You need to open the file in append mode, by setting ""a"" or ""ab"" as the mode. See open()."
The best way to do this in Pandas is to use drop:,"As you've guessed, the right syntax is "
Strings:,Just use the rjust method of the string object.
"Though classmethod and staticmethod are quite similar, there's a slight difference in usage for both entities: classmethod must have a reference to a class object as the first parameter, whereas staticmethod can have no parameters at all.",Rostyslav Dzinko's answer is very appropriate. I thought I could highlight one other reason you should choose @classmethod over @staticmethod when you are creating an additional constructor.
"Have you tried the __name__ attribute of the class? ie type(x).__name__ will give you the name of the class, which I think is what you want.",Do you want the name of the class as a string?
"If you just want to measure the elapsed wall-clock time between two points, you could use  time.time():",Use timeit.default_timer instead of timeit.timeit. The former provides the best clock available on your platform and version of Python automatically:
"Are you talking about multi-line strings? Easy, use triple quotes to start and end them.","If you don't want a multiline string, but just have a long single line string, you can use parentheses. Just make sure you don't include commas between the string segments (then it will be a tuple)."
Try:,Return a random integer N such that a <= N <= b.
TL;DR:,You can even use a version range with pip install command. Something like this:
pip's documentation lists the supported mechanisms to install it: https://pip.pypa.io/en/stable/installation/#supported-methods,⚡️ TL;DR — One-line solution.
"This is my personal recommendation for beginners: start by learning virtualenv and pip, tools which work with both Python 2 and 3 and in a variety of situations, and pick up other tools once you start needing them.",I would just avoid the use of virtualenv after Python3.3+ and instead use the standard shipped library venv. To create a new virtual environment you would type:
You could use the fileinput module:,There's a few ways to do it.
"I found this to be the only one short, flexible, portable and readable:","Is my choice, just more readable and saying exactly what you intend to do and portable across versions.  "
"Names, in a class, with a leading underscore are simply to indicate to other programmers that the attribute or method is intended to be private.  However, nothing special is done with the name itself.","__foo__: this is just a convention, a way for the Python system to use names that won't conflict with user names."
"Maybe I missed the question, but why not:","With modern Python Exceptions, you don't need to abuse .message, or override .__str__() or .__repr__() or any of it. If all you want is an informative message when your exception is raised, do this:"
"To check if o is an instance of str or any subclass of str, use isinstance (this would be the ""canonical"" way):",The most Pythonic way to check the type of an object is... not to check it.
Looks like you haven't properly installed the header files and static libraries for python dev.  Use your package manager to install them system-wide.,"On Ubuntu, I was running Python 3 and I had to install "
"The json module already implements some basic pretty printing in the dump and dumps functions, with the indent parameter that specifies how many spaces to indent by:",You can do this on the command line:
"In Python 3, apart from compatibility between Python 2 and 3, no reason. In Python 2, many reasons. ",Python 3
"Python includes a profiler called cProfile. It not only gives the total running time, but also times each function separately, and tells you how many times each function was called, making it easy to determine where you should make optimizations.","A while ago I made pycallgraph which generates a visualisation from your Python code. Edit: I've updated the example to work with 3.3, the latest release as of this writing."
"For a dataframe df, one can use any of the following:",Suppose df is your dataframe then:
For Python 3.5+ use:,The advantage of adding a path to sys.path (over using imp) is that it simplifies things when importing more than one module from a single package.  For example:
The syntax is the * and **.  The names *args and **kwargs are only by convention but there's no hard requirement to use them.,One place where the use of *args and **kwargs is quite useful is for subclassing.
Use a dict comprehension (Python 2.7 and later):,"In Python 3 and Python 2.7+, dictionary comprehensions look like the below:"
"In Python 3, print can take an optional flush argument:","Running python -h, I see a command line option:"
"To summarize the contents of other (already good!) answers, isinstance caters for inheritance (an instance of a derived class is an instance of a base class, too), while checking for equality of type does not (it demands identity of types and rejects instances of subtypes, AKA subclasses).",Here's an example where isinstance achieves something that type cannot:
You need to read the Python Unicode HOWTO. This error is the very first example.,This is a classic python unicode pain point! Consider the following:
You can also write:,Be careful when the item being repeated is a list. The list will not be cloned: all the elements will refer to the same list!
You have circular dependent imports. physics.py is imported from entity before class Ent is defined and physics tries to import entity that is already initializing. Remove the dependency to physics from entity module.,"While you should definitely avoid circular dependencies, you can defer imports in python."
Constructing a new dict: ,Slightly more elegant dict comprehension:
For pip >= 21.2 use:,"(update: As of March 2020, many people have reported that yolk, installed via pip install yolk3k, only returns latest version.  Chris's answer seems to have the most upvotes and worked for me)"
Easy as py.,It can be as simple as:
Look at the Temporarily Suppressing Warnings section of the Python docs:,There's the -W option.
The ceil (ceiling) function:,"I know this answer is for a question from a while back, but if you don't want to import math and you just want to round up, this works for me."
Include the type specifier in your format expression:,"When it comes to float numbers, you can use format specifiers:"
"The current recommendation is to use python -m pip, where python is the version of Python you would like to use. This is the recommendation because it works across all versions of Python, and in all forms of virtualenv. For example:","On Windows, you can execute the pip module using a given Python version through the Python launcher, py.exe, if you chose to install it during Python 3 setup."
You could explicitly set where you want to tick marks with plt.xticks:,Another approach is to set the axis locator:
Unidecode is the correct answer for this. It transliterates any unicode string into the closest possible representation in ascii text.,How about this:
"The time.time() function returns the number of seconds since the epoch, as seconds.  Note that the ""epoch"" is defined as the start of January 1st, 1970 in UTC.  So the epoch is defined in terms of UTC and establishes a global moment in time.  No matter where you are ""seconds past epoch"" (time.time()) returns the same value at the same moment.","This is for the text form of a timestamp that can be used in your text files. (The title of the question was different in the past, so the introduction to this answer was changed to clarify how it could be interpreted as the time. [updated 2016-01-14])"
You can use dict.get(),Wonder no more. It's built into the language.
"You can do this with str.ljust(width[, fillchar]):","For a flexible method that works even when formatting complicated string, you probably should use the string-formatting mini-language,"
Are dictionaries ordered in Python 3.6+?,Below is answering the original first question:
"There are two string methods for this, find() and index().  The difference between the two is what happens when the search string isn't found.  find() returns -1  and index() raises a ValueError.","Just for a sake of completeness, if you need to find all positions of a character in a string, you can do the following:"
Use the nargs option or the 'append' setting of the action option (depending on how you want the user interface to behave).,"I prefer passing a delimited string which I parse later in the script. The reasons for this are; the list can be of any type int or str, and sometimes using nargs I run into problems if there are multiple optional arguments and positional arguments."
"Use __new__ when you need to control
the creation of a new instance.","__new__ is static class method, while __init__ is instance method. 
__new__ has to create the instance first, so __init__ can initialize it. Note that __init__ takes self as parameter. Until you create instance there is no self."
Try os.chdir,Perhaps this is what you are looking for:
I am improving my answer to add more details for saving and restoring models. ,"In (and after) TensorFlow version 0.11.0RC1, you can save and restore your model directly by calling tf.train.export_meta_graph and tf.train.import_meta_graph according to https://www.tensorflow.org/programmers_guide/meta_graph."
From PEP 8 - Style Guide for Python Code:,There is more than one way to do it.
"Iterator objects in python conform to the iterator protocol, which basically means they provide two methods: __iter__()  and  __next__().  ",There are four ways to build an iterative function:
"In python the with keyword is used when working with unmanaged resources (like file streams). It is similar to the using statement in VB.NET and C#. It allows you to ensure that a resource is ""cleaned up"" when the code that uses it finishes running, even if exceptions are thrown. It provides 'syntactic sugar' for try/finally blocks.",Explanation from the Pershing on Programming blog:
The -s switch disables per-test capturing (only if a test fails).,"pytest captures the stdout from individual tests and displays them only on certain conditions, along with the summary of the tests it prints by default."
A common construct is to run a loop until something is found and then to break out of the loop. The problem is that if I break out of the loop or the loop ends I need to determine which case happened. One method is to create a flag or store variable that will let me do a second test to see how the loop was exited.,"It's a strange construct even to seasoned Python coders. When used in conjunction with for-loops it basically means ""find some item in the iterable, else if none was found do ..."". As in:"
