question,answer
What is the use of the yield keyword in Python? What does it do?,"To understand what yield does, you must understand what generators are. And before you can understand generators, you must understand iterables."
What is the use of the yield keyword in Python? What does it do?,"When you see a function with yield statements, apply this easy trick to understand what will happen:"
"Given the following code, what does the if __name__ == ""__main__"": do?",It's boilerplate code that protects users from accidentally invoking the script when they didn't intend to. Here are some common problems when the guard is omitted from a script:
"Given the following code, what does the if __name__ == ""__main__"": do?","When your script is run by passing it as a command to the Python interpreter,"
"If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?","Yes, It was added in version 2.5. The expression syntax is:"
"If Python does not have a ternary conditional operator, is it possible to simulate one using other language constructs?",You can index into a tuple:
"In Python, what are metaclasses and what do we use them for?","Before understanding metaclasses, you need to master classes in Python. And Python has a very peculiar idea of what classes are, borrowed from the Smalltalk language."
"In Python, what are metaclasses and what do we use them for?",A metaclass is the class of a class. A class defines how an instance of the class (i.e. an object) behaves while a metaclass defines how a class behaves. A class is an instance of a metaclass.
"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned its result instead of modifying a dictionary in-place.","For dictionaries x and y, z becomes a shallowly-merged dictionary with values from y replacing those from x."
"I have two Python dictionaries, and I want to write a single expression that returns these two dictionaries, merged (i.e. taking the union).  The update() method would be what I need, if it returned its result instead of modifying a dictionary in-place.","In your case, what you can do is:"
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,Use the subprocess module in the standard library:
How do you call an external command (as if I'd typed it at the Unix shell or Windows command prompt) from within a Python script?,"Summary of ways to call external programs, including their advantages and disadvantages:"
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:","On Python ≥ 3.5, use pathlib.Path.mkdir:"
"What is the most elegant way to check if the directory a file is going to be written to exists, and if not, create the directory using Python? Here is what I tried:","pathlib.Path.mkdir as used above recursively creates the directory and does not raise an exception if the directory already exists. If you don't need or want the parents to be created, skip the parents argument."
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"Maybe a bit of example code will help: Notice the difference in the call signatures of foo, class_foo and static_foo:"
What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"A staticmethod is a method that knows nothing about the class or instance it was called on. It just gets the arguments that were passed, no implicit first argument. It is basically useless in Python -- you can just use a module function instead of a staticmethod."
I need a good explanation (references are a plus) on Python's slice notation. ,It's pretty simple really:
I need a good explanation (references are a plus) on Python's slice notation. ,The Python tutorial talks about it (scroll down a bit until you get to the part about slicing).
I am a bit puzzled by the following code:,key is just a variable name.  
I am a bit puzzled by the following code:,"It's not that key is a special word, but that dictionaries implement the iterator protocol.  You could do this in your class, e.g. see this question for how to build class iterators."
How can I create or use a global variable in a function?,You can use a global variable within other functions by declaring it as global within each function that assigns a value to it:
How can I create or use a global variable in a function?,"If I'm understanding your situation correctly, what you're seeing is the result of how Python handles local (function) and global (module) namespaces."
I'm looking for a string.contains or string.indexof method in Python.,You can use the in operator:
I'm looking for a string.contains or string.indexof method in Python.,"If it's just a substring search you can use string.find(""substring"")."
I know that I can do:,From Python Documentation:
I know that I can do:,Do this:
What is the difference between __str__ and __repr__ in Python?,"Alex summarized well but, surprisingly, was too succinct."
What is the difference between __str__ and __repr__ in Python?,"My rule of thumb:  __repr__ is for developers, __str__ is for customers."
